annotator_1,annotator_2,annotator_3,annotator_4,annotator_5
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
directed,undirected,directed,directed,undirected
undirected,undirected,no-connection,undirected,undirected
undirected,undirected,undirected,undirected,undirected
no-connection,no-connection,undirected,undirected,no-connection
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
no-connection,undirected,no-connection,undirected,undirected
undirected,undirected,undirected,directed,undirected
directed,directed,directed,directed,directed
directed,directed,directed,directed,directed
directed,directed,directed,directed,directed
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
directed,directed,directed,directed,directed
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
directed,directed,directed,directed,directed
undirected,no-connection,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
directed,directed,directed,directed,directed
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
directed,undirected,directed,directed,undirected
directed,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
undirected,no-connection,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
directed,directed,directed,directed,directed
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
directed,directed,directed,directed,directed
undirected,undirected,undirected,undirected,undirected
bidirectional,bidirectional,bidirectional,bidirectional,bidirectional
directed,directed,directed,directed,directed
directed,directed,directed,directed,directed
undirected,undirected,undirected,undirected,undirected
directed,directed,directed,directed,directed
directed,directed,directed,directed,directed
directed,directed,directed,directed,directed
undirected,undirected,undirected,undirected,undirected
directed,directed,directed,directed,directed
undirected,undirected,undirected,undirected,undirected
directed,directed,directed,directed,directed
directed,directed,directed,directed,directed
directed,undirected,undirected,undirected,directed
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
directed,directed,directed,directed,directed
undirected,undirected,undirected,undirected,undirected
directed,directed,directed,directed,directed
directed,directed,directed,directed,directed
directed,undirected,directed,directed,directed
directed,directed,directed,directed,directed
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
directed,directed,directed,directed,directed
undirected,no-connection,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
directed,directed,directed,directed,directed
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
directed,directed,directed,directed,directed
undirected,undirected,undirected,undirected,undirected
directed,undirected,directed,undirected,undirected
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
directed,directed,directed,directed,directed
undirected,undirected,undirected,undirected,undirected
directed,directed,directed,directed,directed
undirected,undirected,undirected,undirected,undirected
directed,directed,directed,directed,directed
undirected,undirected,undirected,undirected,undirected
directed,directed,directed,directed,directed
directed,directed,directed,directed,directed
undirected,undirected,undirected,undirected,undirected
directed,directed,directed,directed,directed
directed,directed,directed,directed,directed
undirected,undirected,undirected,undirected,undirected
directed,directed,directed,directed,directed
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
no-connection,undirected,undirected,no-connection,undirected
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
undirected,undirected,undirected,undirected,undirected
directed,directed,directed,directed,directed
