annotator_1,annotator_2,annotator_3,annotator_4,annotator_5
cycle,cycle,cycle,cycle,cycle
network,network,network,network,diagrammatic
vertical,network,vertical,vertical,vertical
cut-out,slice,slice,slice,cut-out
slice,illustration,slice,slice,slice
network,network,network,network,network
cycle,cycle,cycle,cycle,cycle
slice,slice,slice,illustration,illustration
horizontal,horizontal,horizontal,horizontal,horizontal
illustration,illustration,illustration,illustration,illustration
illustration,horizontal,horizontal,illustration,illustration
cut-out,illustration,slice,illustration,cut-out
cycle,diagrammatic,illustration,diagrammatic,illustration
slice,illustration,illustration,illustration,illustration
cycle,cycle,cycle,cycle,cycle
cut-out,cut-out,cut-out,cut-out,cut-out
diagrammatic,diagrammatic,diagrammatic,diagrammatic,diagrammatic
illustration,illustration,illustration,illustration,illustration
slice,slice,slice,slice,slice
illustration,illustration,illustration,illustration,illustration
cut-out,cut-out,cut-out,cut-out,cut-out
network,network,network,network,network
cycle,network,cycle,cycle,cycle
illustration,illustration,illustration,photograph,illustration
cycle,cycle,cycle,cycle,cycle
cycle,cycle,cycle,cycle,cycle
slice,illustration,slice,slice,slice
slice,illustration,slice,slice,slice
network,network,network,network,network
diagrammatic,diagrammatic,illustration,illustration,illustration
cut-out,cut-out,cut-out,cut-out,cut-out
cut-out,cut-out,cut-out,cut-out,cut-out
slice,illustration,slice,slice,cut-out
cycle,cycle,cycle,cycle,cycle
horizontal,horizontal,horizontal,horizontal,horizontal
illustration,illustration,illustration,vertical,illustration
cycle,cycle,cycle,cycle,cycle
network,network,network,network,network
network,network,network,network,network
illustration,illustration,illustration,illustration,illustration
horizontal,illustration,horizontal,horizontal,illustration
illustration,illustration,illustration,illustration,illustration
vertical,vertical,network,illustration,diagrammatic
cut-out,cut-out,cut-out,cut-out,cut-out
cycle,horizontal,horizontal,cycle,cycle
cycle,cycle,cycle,illustration,illustration
cut-out,horizontal,cut-out,slice,cut-out
cycle,cycle,cycle,cycle,cycle
network,network,network,network,network
illustration,illustration,illustration,illustration,illustration
cut-out,cut-out,cut-out,cut-out,cut-out
photograph,table,table,illustration,photograph
horizontal,illustration,illustration,illustration,illustration
illustration,illustration,illustration,illustration,illustration
cut-out,cut-out,cut-out,cut-out,cut-out
slice,slice,slice,slice,slice
network,network,network,network,network
slice,slice,slice,slice,slice
network,diagrammatic,diagrammatic,diagrammatic,diagrammatic
slice,slice,slice,slice,slice
illustration,illustration,illustration,illustration,illustration
slice,slice,slice,slice,slice
network,network,network,network,network
illustration,illustration,illustration,illustration,illustration
slice,slice,slice,illustration,slice
cycle,cycle,cycle,cycle,cycle
cut-out,cut-out,cut-out,cut-out,cut-out
illustration,cycle,illustration,illustration,illustration
slice,illustration,slice,slice,slice
slice,slice,slice,slice,slice
slice,slice,slice,slice,slice
cut-out,cut-out,cut-out,cut-out,cut-out
cut-out,slice,slice,slice,slice
diagrammatic,diagrammatic,diagrammatic,diagrammatic,diagrammatic
cut-out,cut-out,horizontal,cut-out,cut-out
cut-out,cut-out,cut-out,cut-out,cut-out
cut-out,cut-out,cut-out,cut-out,cut-out
slice,slice,slice,illustration,slice
illustration,illustration,illustration,illustration,illustration
cut-out,cut-out,cut-out,cut-out,cut-out
cut-out,cut-out,cut-out,cut-out,cut-out
horizontal,horizontal,horizontal,horizontal,horizontal
cycle,cycle,cycle,cycle,cycle
cycle,cycle,cycle,cycle,cycle
cut-out,cut-out,cut-out,cut-out,cut-out
cycle,cycle,cycle,cycle,cycle
diagrammatic,diagrammatic,diagrammatic,diagrammatic,diagrammatic
cut-out,cut-out,cut-out,cut-out,cut-out
horizontal,illustration,illustration,illustration,illustration
cycle,cycle,cycle,cycle,cycle
illustration,illustration,illustration,illustration,illustration
illustration,illustration,cycle,illustration,cycle
illustration,illustration,illustration,illustration,illustration
illustration,illustration,horizontal,horizontal,horizontal
cut-out,cut-out,cut-out,cut-out,cut-out
illustration,illustration,illustration,illustration,illustration
horizontal,horizontal,horizontal,horizontal,horizontal
illustration,cycle,illustration,cycle,illustration
cycle,cycle,cycle,cycle,cycle
cycle,cycle,cycle,cycle,cycle
slice,cut-out,slice,slice,slice
illustration,illustration,illustration,illustration,illustration
illustration,illustration,illustration,illustration,illustration
vertical,vertical,vertical,vertical,vertical
cycle,cycle,cycle,cycle,cycle
network,network,network,network,network
network,network,network,cycle,network
illustration,illustration,illustration,illustration,illustration
slice,cut-out,slice,slice,slice
slice,slice,slice,slice,slice
horizontal,horizontal,horizontal,horizontal,horizontal
illustration,illustration,illustration,illustration,illustration
cycle,cycle,cycle,cycle,cycle
cut-out,cut-out,slice,slice,slice
slice,slice,slice,cut-out,cut-out
cycle,cycle,cycle,cycle,cycle
cycle,illustration,illustration,diagrammatic,illustration
slice,slice,slice,slice,slice
illustration,illustration,illustration,illustration,slice
