annotator_1,annotator_2,annotator_3,annotator_4,annotator_5
cyclic sequence,cyclic sequence,cyclic sequence,cyclic sequence,cyclic sequence
elaboration,identification,identification,identification,elaboration
identification,identification,identification,identification,identification
identification,identification,identification,identification,identification
elaboration,elaboration,elaboration,identification,elaboration
identification,identification,identification,identification,identification
elaboration,identification,identification,identification,identification
identification,identification,identification,identification,identification
elaboration,elaboration,elaboration,elaboration,elaboration
property-ascription,identification,property-ascription,identification,property-ascription
joint,joint,elaboration,elaboration,elaboration
joint,joint,joint,joint,joint
identification,identification,identification,identification,identification
identification,identification,identification,identification,identification
elaboration,circumstance,identification,identification,identification
identification,identification,identification,elaboration,identification
elaboration,elaboration,elaboration,elaboration,elaboration
preparation,preparation,preparation,preparation,preparation
conjunction,identification,identification,elaboration,conjunction
identification,identification,identification,class-ascription,identification
joint,joint,joint,joint,joint
circumstance,circumstance,circumstance,circumstance,circumstance
elaboration,elaboration,elaboration,elaboration,elaboration
property-ascription,identification,property-ascription,property-ascription,class-ascription
elaboration,identification,identification,identification,identification
joint,joint,joint,joint,list
identification,identification,identification,identification,identification
elaboration,circumstance,means,elaboration,circumstance
elaboration,elaboration,elaboration,elaboration,elaboration
elaboration,identification,identification,identification,identification
elaboration,means,elaboration,nonvolitional-result,elaboration
property-ascription,property-ascription,property-ascription,property-ascription,property-ascription
identification,identification,identification,identification,identification
class-ascription,identification,identification,class-ascription,identification
elaboration,elaboration,elaboration,joint,elaboration
list,joint,joint,joint,joint
identification,identification,identification,identification,identification
elaboration,elaboration,elaboration,joint,elaboration
elaboration,elaboration,elaboration,elaboration,elaboration
identification,elaboration,identification,class-ascription,identification
joint,elaboration,joint,joint,joint
joint,joint,joint,joint,joint
identification,identification,identification,identification,identification
property-ascription,property-ascription,property-ascription,property-ascription,property-ascription
elaboration,elaboration,elaboration,elaboration,elaboration
identification,identification,identification,identification,identification
property-ascription,property-ascription,property-ascription,property-ascription,property-ascription
joint,joint,joint,elaboration,circumstance
elaboration,elaboration,means,elaboration,elaboration
identification,identification,identification,identification,identification
joint,joint,joint,joint,sequence
preparation,preparation,preparation,preparation,preparation
joint,joint,joint,joint,cyclic sequence
joint,identification,restatement,identification,identification
joint,joint,joint,joint,joint
identification,identification,identification,identification,identification
joint,joint,joint,joint,joint
property-ascription,property-ascription,property-ascription,property-ascription,property-ascription
joint,joint,joint,contrast,joint
identification,identification,identification,identification,identification
elaboration,identification,identification,elaboration,elaboration
property-ascription,property-ascription,purpose,class-ascription,identification
identification,property-ascription,property-ascription,property-ascription,property-ascription
identification,identification,identification,identification,identification
joint,joint,joint,joint,joint
elaboration,joint,joint,elaboration,elaboration
elaboration,elaboration,elaboration,elaboration,elaboration
identification,identification,identification,elaboration,identification
identification,identification,identification,identification,identification
elaboration,circumstance,elaboration,circumstance,elaboration
identification,identification,identification,identification,identification
connected,connected,connected,connected,connected
class-ascription,class-ascription,identification,identification,identification
identification,identification,identification,identification,identification
preparation,preparation,preparation,preparation,preparation
identification,identification,identification,identification,identification
identification,identification,identification,preparation,identification
property-ascription,property-ascription,property-ascription,property-ascription,property-ascription
identification,identification,identification,identification,identification
elaboration,elaboration,elaboration,elaboration,elaboration
elaboration,elaboration,joint,means,sequence
contrast,contrast,joint,joint,joint
elaboration,identification,identification,identification,identification
joint,joint,joint,joint,joint
identification,identification,identification,elaboration,identification
identification,identification,identification,identification,identification
joint,joint,joint,joint,joint
circumstance,preparation,connected,joint,circumstance
sequence,sequence,sequence,sequence,sequence
connected,connected,connected,connected,connected
identification,identification,nonvolitional-cause,identification,identification
identification,identification,identification,identification,identification
connected,connected,connected,connected,connected
identification,identification,identification,identification,identification
connected,connected,connected,connected,connected
identification,identification,identification,identification,identification
property-ascription,property-ascription,elaboration,property-ascription,property-ascription
elaboration,preparation,elaboration,elaboration,elaboration
identification,identification,identification,identification,identification
identification,identification,identification,identification,identification
elaboration,identification,identification,identification,elaboration
property-ascription,property-ascription,property-ascription,property-ascription,property-ascription
property-ascription,identification,property-ascription,property-ascription,property-ascription
elaboration,identification,identification,identification,elaboration
property-ascription,property-ascription,property-ascription,property-ascription,property-ascription
class-ascription,identification,identification,identification,identification
joint,joint,joint,joint,joint
identification,identification,identification,identification,identification
property-ascription,property-ascription,property-ascription,property-ascription,property-ascription
joint,joint,joint,joint,joint
identification,identification,identification,identification,identification
identification,identification,identification,elaboration,identification
identification,identification,identification,identification,identification
cyclic sequence,cyclic sequence,cyclic sequence,cyclic sequence,cyclic sequence
identification,identification,identification,identification,identification
identification,identification,identification,identification,identification
identification,identification,identification,elaboration,identification
identification,identification,identification,identification,identification
elaboration,identification,elaboration,elaboration,elaboration
preparation,preparation,preparation,preparation,preparation
identification,identification,identification,identification,identification
elaboration,identification,identification,preparation,identification
property-ascription,identification,identification,identification,identification
identification,identification,identification,identification,identification
elaboration,elaboration,elaboration,elaboration,elaboration
sequence,sequence,sequence,sequence,sequence
elaboration,elaboration,elaboration,elaboration,elaboration
class-ascription,identification,class-ascription,class-ascription,class-ascription
property-ascription,property-ascription,property-ascription,property-ascription,property-ascription
sequence,joint,joint,list,joint
identification,identification,identification,identification,identification
identification,joint,joint,joint,joint
identification,identification,identification,identification,identification
identification,identification,identification,identification,identification
elaboration,elaboration,elaboration,elaboration,elaboration
elaboration,circumstance,identification,circumstance,circumstance
identification,class-ascription,identification,identification,class-ascription
elaboration,elaboration,identification,identification,elaboration
joint,joint,joint,joint,restatement
contrast,contrast,circumstance,circumstance,contrast
cyclic sequence,cyclic sequence,cyclic sequence,cyclic sequence,cyclic sequence
property-ascription,property-ascription,property-ascription,property-ascription,property-ascription
elaboration,property-ascription,property-ascription,property-ascription,property-ascription
identification,identification,identification,identification,identification
identification,identification,identification,identification,identification
joint,joint,joint,joint,joint
preparation,preparation,preparation,preparation,preparation
elaboration,elaboration,identification,identification,elaboration
identification,identification,identification,identification,identification
identification,identification,identification,identification,identification
nonvolitional-result,circumstance,nonvolitional-cause,circumstance,circumstance
sequence,sequence,connected,connected,sequence
joint,joint,joint,joint,joint
joint,joint,joint,joint,joint
identification,identification,identification,identification,identification
elaboration,elaboration,elaboration,elaboration,elaboration
property-ascription,property-ascription,property-ascription,property-ascription,property-ascription
property-ascription,identification,identification,identification,identification
identification,identification,identification,identification,identification
identification,identification,identification,identification,identification
identification,identification,identification,identification,identification
identification,identification,identification,identification,identification
identification,identification,identification,identification,identification
joint,joint,joint,joint,joint
identification,identification,identification,identification,elaboration
identification,identification,identification,identification,identification
nonvolitional-result,elaboration,means,nonvolitional-cause,means
joint,joint,joint,joint,joint
identification,identification,identification,identification,identification
joint,joint,joint,list,joint
identification,identification,identification,preparation,identification
cyclic sequence,cyclic sequence,cyclic sequence,cyclic sequence,cyclic sequence
elaboration,property-ascription,elaboration,property-ascription,property-ascription
identification,identification,identification,identification,identification
preparation,preparation,preparation,preparation,preparation
identification,class-ascription,identification,identification,class-ascription
identification,identification,identification,identification,identification
joint,joint,joint,joint,joint
joint,joint,joint,joint,joint
identification,identification,identification,identification,identification
condition,nonvolitional-cause,circumstance,nonvolitional-cause,circumstance
joint,joint,joint,joint,joint
identification,identification,identification,elaboration,identification
identification,identification,identification,identification,identification
identification,identification,identification,elaboration,identification
preparation,preparation,preparation,preparation,preparation
joint,joint,joint,joint,joint
identification,identification,identification,identification,identification
identification,identification,identification,identification,identification
contrast,joint,disjunction,disjunction,contrast
identification,identification,identification,elaboration,identification
property-ascription,property-ascription,property-ascription,property-ascription,property-ascription
sequence,sequence,connected,connected,sequence
joint,joint,joint,joint,joint
elaboration,elaboration,elaboration,elaboration,elaboration
